,user_id,2stg_own
0,1,"[854496, 934369, 971585, 920200, 924423]"
1,2,"[961756, 850133, 927360, 9803601, 5568489]"
2,3,"[1057113, 1089025, 1076161, 15741861, 1015597]"
3,4,"[902172, 7025275, 10149640, 839747, 877523]"
4,5,"[987044, 9487553, 1081710, 935393, 1131321]"
5,6,"[9524291, 1048046, 1014948, 12384953, 9911484]"
6,7,"[1048068, 1128333, 1077588, 1072483, 888835]"
7,8,"[5591154, 10457110, 864048, 1115577, 1093329]"
8,9,"[857503, 5570408, 9707240, 980860, 868015]"
9,10,"[961554, 951590, 826249, 15596488, 879876]"
10,11,"[1082185, 6534178, 1029743, 995242, 1106523]"
11,12,"[898068, 995965, 1080014, 1022053, 6463742]"
12,13,"[7466252, 825365, 9707240, 6551861, 1043663]"
13,14,"[818981, 978354, 13876901, 833754, 1082310]"
14,15,"[1035843, 1023958, 1082310, 1053530, 1132911]"
15,16,"[951590, 840361, 1100533, 995785, 883404]"
16,17,"[862866, 1117128, 823176, 897752, 7410168]"
17,18,"[834303, 1134398, 909750, 12754036, 973889]"
18,19,"[992933, 1096317, 1132789, 905087, 827180]"
19,20,"[5568197, 993441, 1097422, 1042021, 9835509]"
20,21,"[9527290, 15596488, 1106301, 1107538, 938138]"
21,22,"[1011089, 8181451, 880150, 991874, 1082814]"
22,23,"[931860, 6463742, 833754, 860167, 1115358]"
23,24,"[969568, 12988031, 1086740, 1021715, 9365106]"
24,25,"[1000002, 9364612, 959931, 885863, 1084177]"
25,26,"[1096317, 989409, 9297154, 967144, 1021522]"
26,27,"[13842090, 905087, 1046584, 844759, 971852]"
27,28,"[8090546, 1121624, 941883, 1029685, 1017195]"
28,29,"[849129, 9527161, 938547, 1053282, 891505]"
29,30,"[937301, 995916, 1120928, 835618, 995311]"
30,31,"[866528, 1065331, 1013503, 1056492, 9707498]"
31,32,"[828143, 959737, 866172, 991575, 1085696]"
32,33,"[832678, 9526430, 821970, 5592734, 1025611]"
33,34,"[847573, 1096794, 819927, 819063, 1138474]"
34,35,"[1048462, 982955, 1093603, 993826, 1092885]"
35,36,"[1066725, 857503, 848329, 917654, 884896]"
36,37,"[884039, 1019099, 1046689, 1021522, 840601]"
37,38,"[1138443, 826249, 995965, 1014509, 955431]"
38,39,"[1017887, 9416729, 857503, 10150148, 868683]"
39,40,"[995478, 992529, 7025250, 927658, 880150]"
40,41,"[939527, 7166817, 1044805, 838319, 1109014]"
41,42,"[1109374, 1054216, 966695, 912451, 991874]"
42,43,"[866172, 12731583, 863447, 1108024, 962185]"
43,44,"[884333, 1108994, 9553397, 6602697, 1042616]"
44,45,"[5568995, 1135222, 1080014, 829001, 856827]"
45,46,"[9832156, 10455579, 831063, 1091809, 1050618]"
46,47,"[934948, 1105034, 964011, 870614, 1139786]"
47,48,"[1096343, 1022119, 947798, 871440, 913144]"
48,49,"[1127838, 7166817, 1108854, 1037332, 880469]"
49,50,"[1029688, 962229, 830503, 961747, 1023958]"
50,51,"[905690, 6552253, 1113111, 9527159, 1015785]"
51,52,"[1128244, 865705, 831509, 864048, 972665]"
52,53,"[1031083, 897125, 955587, 1044759, 934676]"
53,54,"[923746, 6533608, 826249, 989157, 951590]"
54,55,"[826597, 1105301, 935393, 883202, 9832160]"
55,56,"[1011926, 10457110, 977545, 963835, 838097]"
56,57,"[1082172, 876932, 1006188, 941472, 9487553]"
57,58,"[1013807, 1136375, 1109014, 825180, 1054539]"
58,59,"[919180, 1053282, 5568447, 855718, 857503]"
59,60,"[899459, 5568447, 991949, 1000908, 971585]"
60,61,"[5569230, 1026984, 878285, 951197, 1127831]"
61,62,"[1082185, 6534178, 1029743, 995242, 1106523]"
62,63,"[923746, 1040346, 1127831, 871570, 5569230]"
63,64,"[1065331, 932503, 8011291, 957741, 10285185]"
